names_list num_reads maxEstCorr maxTruCorr
MethylCap1 222798571 222798571 111399285
MethylCap2 222798571 0.999999297914431 0.999998604689117
MethylCap3 243011542 222798571 111399285
MethylInput 237866546 0.999999310343387 0.999998628746837
TAYNCap1 322441579 243011542 121505771
TAYNCap2 257337546 0.999999344859372 0.999998544695639
TAYNCap3 250971747 237866546 118933273
TAYNInput 275296486 0.999996917634376 0.999993900103481
MethylCap1 222798571 322441579 161220789
MethylCap2 222798571 0.999999793620039 0.999999649312447
MethylCap3 243011542 257337546 128668773
MethylInput 237866546 0.999999797799842 0.999999572746977
TAYNCap1 322441579 250971747 125485873
TAYNCap2 257337546 0.99999976795194 0.999999515250456
TAYNCap3 250971747 275296486 137648243
TAYNInput 275296486 0.999997268844951 0.999994747272707
