seqnames	start	end	width	strand	Conc	Conc_TAYN	Conc_Methyl	Fold	p.value	FDR
2	98666937	98667437	501	*	16.5840874486424	17.0791375473914	15.8244147342862	1.25279363770149	3.54616942018118e-284	2.58029925520643e-279
9	35305198	35305698	501	*	13.6354693411987	14.022079414893	13.1057345064437	0.914416794649198	1.03822746373746e-142	3.77722724719645e-138
15	75086535	75087035	501	*	8.6048305136021	5.84892127561331	9.49388090882812	-3.61910230169324	1.22447035404336e-123	2.96987121237523e-119
11	3193256	3193756	501	*	10.7708116861615	11.3216343579548	9.8686360304275	1.44858186445224	3.4291023420128e-120	6.23779434279693e-116
2	98662394	98662894	501	*	14.7290004547068	15.0575509607793	14.3028575991463	0.753648256335269	9.55605612913141e-119	1.39065462424798e-114
9	3006566	3007066	501	*	10.6679826036945	11.1375988010265	9.96724828554234	1.16298307022895	2.22584185389143e-73	2.69931551357837e-69
9	3000432	3000932	501	*	11.0534786862576	11.4345395949435	10.5341591417598	0.895876097813343	5.43905152006453e-53	5.65373865363508e-49
11	3176751	3177251	501	*	7.98141715325599	6.0592823974356	8.77729730004123	-2.65205759599251	1.00014376371285e-47	9.09668258487977e-44
11	3192254	3192754	501	*	8.18601774640647	6.82944937151106	8.87262130442628	-1.99771239888742	1.99565410162726e-46	1.61344199329672e-42
11	3179202	3179702	501	*	8.12977695991278	6.38048126481458	8.89747670934057	-2.45220633082042	3.02756989524681e-45	2.20295068287844e-41
11	3173517	3174017	501	*	7.68549957704773	5.44926982818336	8.52365244065114	-2.95325636973192	3.50036754306447e-44	2.31542948669091e-40
11	3150596	3151096	501	*	9.84552334375265	10.2889712938955	9.20200433635627	1.07820730137621	2.6528101198718e-40	1.60855352293527e-36
14	19418570	19419070	501	*	10.2099443312308	10.6020132826951	9.669850185397	0.925328572968329	6.31690672458436e-39	3.53566987693024e-35
9	123924764	123925264	501	*	6.85550638778858	7.62803309600491	5.07826655751841	2.44225251676213	2.80720433056681e-30	1.45900434789309e-26
11	96022916	96023416	501	*	5.92820540594496	6.7990780948315	3.38222298104096	3.23347818836841	9.70466096367638e-26	4.7076016379999e-22
1	165102968	165103468	501	*	5.71155816037886	6.59298688975326	3.0477385710705	3.30717022637953	1.18710617117929e-22	5.39858789584492e-19
11	3129846	3130346	501	*	5.71644041796625	1.98925591789751	6.66091643676255	-4.66234482477377	1.56521309842676e-22	6.69938827534273e-19
4	3080633	3081619	987	*	6.4866518205564	4.98114276159596	7.20718781120876	-2.10294034476087	2.01377623611483e-21	8.1404666815791e-18
5	119742699	119743199	501	*	6.3908448410495	7.12230308493186	4.83310808092613	2.14837147330992	1.13502072934843e-20	4.34671122787261e-17
12	20233617	20234117	501	*	8.17294218873174	8.72810905582017	7.25880578113722	1.43460025570656	1.36808235403852e-20	4.97728881634524e-17
5	144684457	144684957	501	*	5.69927285452727	6.55477466746597	3.30798366504009	3.02985326691037	1.93591200374058e-20	6.70775072038933e-17
12	105592005	105592505	501	*	6.27487258482556	7.01192476963196	4.68947705292864	2.19459754334776	2.72007630088878e-20	8.99640508552594e-17
11	3134455	3134955	501	*	7.79256631476086	6.71941862099976	8.40110980088052	-1.60980372838726	4.69876710337432e-20	1.48650604670794e-16
11	3142251	3142751	501	*	7.39213596638314	0	8.39213596638314	-10.1220606657189	9.13502698258008e-20	2.76954986805614e-16
9	110629881	110630381	501	*	5.88439788158596	6.66265052420655	4.07316650712637	2.42090818862837	1.07885006594155e-19	3.14001469392421e-16
1	88260054	88260554	501	*	5.5925170450792	3.20213272238313	6.44792350076654	-3.01065546530106	4.07574476788071e-19	1.14062852517425e-15
15	73057915	73058415	501	*	5.83017842556129	6.6178080379996	3.96118371610527	2.48198483829895	6.04221257253097e-19	1.62833153116693e-15
11	20378857	20379357	501	*	7.17337005886277	7.7840686223378	6.09328698569734	1.62119980115333	7.20980106049495e-19	1.87359555201712e-15
5	114298092	114298592	501	*	5.84998517764782	6.62290731132042	4.07042779727087	2.37671521977495	8.89455834373348e-19	2.23170603022441e-15
1	193385450	193385950	501	*	5.61954406857548	6.45602513087317	3.39732001473028	2.79995653131874	1.42926048801758e-18	3.4665760296541e-15
15	5644052	5644552	501	*	6.03582771357947	6.78646945087299	4.38046949192981	2.2377180577916	3.20330164316181e-18	7.51876895036718e-15
4	3051609	3052109	501	*	5.32751391437997	1.73842399033104	6.26629255532067	-4.34256160077869	6.70234637200975e-18	1.52400884083296e-14
10	13090655	13091155	501	*	6.17441064805247	6.89401266465992	4.67326316987609	2.08098209127824	1.20440695775413e-17	2.65564434748678e-14
8	83929567	83930067	501	*	6.07264199164638	6.78911881640728	4.58597347673621	2.0661238301298	1.32288824696769e-17	2.8310975739444e-14
8	117282737	117283237	501	*	5.80206524907189	6.57469029374944	4.02424948539475	2.3501133445045	2.06384421235562e-17	4.29061418353235e-14
5	146953705	146954205	501	*	5.7030225094311	6.4747755214695	3.93030466719701	2.36394466998031	2.69139656781114e-17	5.43983579065671e-14
1	180272966	180273466	501	*	6.2359298737923	6.91336192236355	4.91655837098257	1.88020266368085	3.57429182335184e-17	7.02908637682567e-14
4	44639810	44640310	501	*	5.7131225272466	6.50902322051347	3.79085257509075	2.46691156791	3.94447330547133e-17	7.44362304363553e-14
13	60049176	60049676	501	*	5.94698240564013	6.66862417619716	4.43628867082255	2.09591089656673	4.04245321157511e-17	7.44362304363553e-14
3	50944810	50945310	501	*	6.20184943211001	6.89539100102575	4.8163285480382	1.95771542788422	4.09198248760251e-17	7.44362304363553e-14
11	118818280	118818780	501	*	5.58582401921685	6.42903849448853	3.30623903485742	2.80006418757477	4.46903983835385e-17	7.93123770141807e-14
7	139826362	139826862	501	*	5.4216052983387	6.29156479558146	2.88533998023074	3.0558336987893	5.96464142068941e-17	1.03334572308006e-13
5	36966938	36967438	501	*	6.27696585078076	6.9478235693974	4.9835390793365	1.84920529482971	6.89761558068829e-17	1.16718884301772e-13
11	3152608	3153108	501	*	9.03247483590871	8.49040109655249	9.42558015311498	-0.921950310659869	7.60288016014436e-17	1.24441023290264e-13
7	127611306	127611806	501	*	6.29790957998253	7.04241027998149	4.67466966542147	2.17563806293348	7.70740566360696e-17	1.24441023290264e-13
16	3236681	3237649	969	*	6.49525386107395	0	7.49525386107395	-9.28105105574476	7.86703004459976e-17	1.24441023290264e-13
15	93895745	93896245	501	*	5.92885914989962	6.66615785364555	4.34222994660728	2.15258401703162	8.11043818145232e-17	1.25561662424897e-13
9	69810182	69810682	501	*	6.04263441138854	6.77352243999657	4.48768152993023	2.14002217559408	9.27690311594496e-17	1.4062818779698e-13
1	34263258	34263758	501	*	5.86190006252871	6.61125489995524	4.21334334709	2.24062299892812	9.81744059385954e-17	1.45784985700204e-13
15	77569700	77570200	501	*	5.28806797844352	6.17026473405856	2.61525193964386	3.24985817889256	1.35752161732764e-16	1.97554690883222e-13
2	164392810	164393310	501	*	6.05888978576471	6.76902494467386	4.60106907484162	2.03205164056832	1.44569642564928e-16	2.04712310284482e-13
1	181751626	181752126	501	*	6.15323906877863	6.83904618896742	4.79994858545408	1.92057676965902	1.46297433239325e-16	2.04712310284482e-13
1	183299143	183299643	501	*	6.42031290696527	0	7.42031290696527	-9.20848283936746	1.78712770010247e-16	2.45352401589728e-13
11	3172162	3172662	501	*	6.35255331777267	0	7.35255331777267	-9.14552046738194	2.15643527824259e-16	2.90571666945862e-13
9	119580159	119580659	501	*	5.38783330615497	6.22727228293115	3.14072451676835	2.80855635164434	2.64264619279353e-16	3.49612481684065e-13
8	45023349	45023849	501	*	6.13433979467916	6.83052125904097	4.73761085749187	1.97726483222945	2.74076840880664e-16	3.5611880666071e-13
13	12918575	12919075	501	*	5.43898409006144	3.2439232102774	6.27217050294049	-2.72872575799328	2.8801422487124e-16	3.67662790250983e-13
