chr start stop ROI
20303 1 3045301 3045450 ID_1
21730 1 3259351 3259500 ID_2
23272 1 3490651 3490800 ID_3
23747 1 3561901 3562050 ID_4
23748 1 3562051 3562200 ID_5
26585 1 3987601 3987750 ID_6
26586 1 3987751 3987900 ID_7
26933 1 4039801 4039950 ID_8
27238 1 4085551 4085700 ID_9
27544 1 4131451 4131600 ID_10
27549 1 4132201 4132350 ID_11
27550 1 4132351 4132500 ID_12
29873 1 4480801 4480950 ID_13
30366 1 4554751 4554900 ID_14
30380 1 4556851 4557000 ID_15
30381 1 4557001 4557150 ID_16
30382 1 4557151 4557300 ID_17
30450 1 4567351 4567500 ID_18
32017 1 4802401 4802550 ID_19
32018 1 4802551 4802700 ID_20
33950 1 5092351 5092500 ID_21
34058 1 5108551 5108700 ID_22
34059 1 5108701 5108850 ID_23
34060 1 5108851 5109000 ID_24
35789 1 5368201 5368350 ID_25
35790 1 5368351 5368500 ID_26
35792 1 5368651 5368800 ID_27
36210 1 5431351 5431500 ID_28
36993 1 5548801 5548950 ID_29
36994 1 5548951 5549100 ID_30
37113 1 5566801 5566950 ID_31
37114 1 5566951 5567100 ID_32
37115 1 5567101 5567250 ID_33
37116 1 5567251 5567400 ID_34
37117 1 5567401 5567550 ID_35
37842 1 5676151 5676300 ID_36
38327 1 5748901 5749050 ID_37
38328 1 5749051 5749200 ID_38
38697 1 5804401 5804550 ID_39
38734 1 5809951 5810100 ID_40
38735 1 5810101 5810250 ID_41
38736 1 5810251 5810400 ID_42
38741 1 5811001 5811150 ID_43
38742 1 5811151 5811300 ID_44
38802 1 5820151 5820300 ID_45
38803 1 5820301 5820450 ID_46
38804 1 5820451 5820600 ID_47
39677 1 5951401 5951550 ID_48
41152 1 6172651 6172800 ID_49
41247 1 6186901 6187050 ID_50
41248 1 6187051 6187200 ID_51
41249 1 6187201 6187350 ID_52
41342 1 6201151 6201300 ID_53
41571 1 6235501 6235650 ID_54
41572 1 6235651 6235800 ID_55
42700 1 6404851 6405000 ID_56
42701 1 6405001 6405150 ID_57
42702 1 6405151 6405300 ID_58
42871 1 6430501 6430650 ID_59
42884 1 6432451 6432600 ID_60
42885 1 6432601 6432750 ID_61
42908 1 6436051 6436200 ID_62
42909 1 6436201 6436350 ID_63
42910 1 6436351 6436500 ID_64
42916 1 6437251 6437400 ID_65
42917 1 6437401 6437550 ID_66
43795 1 6569101 6569250 ID_67
43797 1 6569401 6569550 ID_68
44282 1 6642151 6642300 ID_69
44546 1 6681751 6681900 ID_70
44609 1 6691201 6691350 ID_71
46087 1 6912901 6913050 ID_72
48335 1 7250101 7250250 ID_73
48623 1 7293301 7293450 ID_74
48624 1 7293451 7293600 ID_75
48625 1 7293601 7293750 ID_76
48742 1 7311151 7311300 ID_77
50723 1 7608301 7608450 ID_78
50913 1 7636801 7636950 ID_79
52131 1 7819501 7819650 ID_80
52132 1 7819651 7819800 ID_81
52573 1 7885801 7885950 ID_82
52574 1 7885951 7886100 ID_83
53294 1 7993951 7994100 ID_84
53295 1 7994101 7994250 ID_85
53298 1 7994551 7994700 ID_86
53299 1 7994701 7994850 ID_87
53300 1 7994851 7995000 ID_88
53301 1 7995001 7995150 ID_89
53787 1 8067901 8068050 ID_90
53788 1 8068051 8068200 ID_91
54383 1 8157301 8157450 ID_92
54632 1 8194651 8194800 ID_93
54633 1 8194801 8194950 ID_94
54766 1 8214751 8214900 ID_95
54982 1 8247151 8247300 ID_96
55694 1 8353951 8354100 ID_97
57055 1 8558101 8558250 ID_98
57742 1 8661151 8661300 ID_99
58580 1 8786851 8787000 ID_100
58581 1 8787001 8787150 ID_101
58582 1 8787151 8787300 ID_102
58583 1 8787301 8787450 ID_103
58602 1 8790151 8790300 ID_104
58603 1 8790301 8790450 ID_105
59045 1 8856601 8856750 ID_106
60982 1 9147151 9147300 ID_107
61280 1 9191851 9192000 ID_108
61442 1 9216151 9216300 ID_109
61571 1 9235501 9235650 ID_110
61572 1 9235651 9235800 ID_111
61573 1 9235801 9235950 ID_112
62464 1 9369451 9369600 ID_113
66356 1 9953251 9953400 ID_114
70339 1 10550701 10550850 ID_115
70340 1 10550851 10551000 ID_116
70856 1 10628251 10628400 ID_117
72037 1 10805401 10805550 ID_118
72833 1 10924801 10924950 ID_119
72834 1 10924951 10925100 ID_120
75784 1 11367451 11367600 ID_121
75785 1 11367601 11367750 ID_122
75799 1 11369701 11369850 ID_123
75800 1 11369851 11370000 ID_124
77474 1 11620951 11621100 ID_125
77475 1 11621101 11621250 ID_126
79645 1 11946601 11946750 ID_127
79670 1 11950351 11950500 ID_128
79671 1 11950501 11950650 ID_129
79672 1 11950651 11950800 ID_130
79768 1 11965051 11965200 ID_131
80237 1 12035401 12035550 ID_132
80302 1 12045151 12045300 ID_133
82786 1 12417751 12417900 ID_134
83972 1 12595651 12595800 ID_135
84074 1 12610951 12611100 ID_136
84075 1 12611101 12611250 ID_137
84355 1 12653101 12653250 ID_138
84356 1 12653251 12653400 ID_139
84357 1 12653401 12653550 ID_140
85605 1 12840601 12840750 ID_141
85606 1 12840751 12840900 ID_142
85933 1 12889801 12889950 ID_143
86566 1 12984751 12984900 ID_144
86769 1 13015201 13015350 ID_145
86770 1 13015351 13015500 ID_146
87458 1 13118551 13118700 ID_147
88397 1 13259401 13259550 ID_148
88398 1 13259551 13259700 ID_149
88789 1 13318201 13318350 ID_150
88790 1 13318351 13318500 ID_151
88791 1 13318501 13318650 ID_152
88792 1 13318651 13318800 ID_153
90338 1 13550551 13550700 ID_154
90339 1 13550701 13550850 ID_155
90345 1 13551601 13551750 ID_156
90346 1 13551751 13551900 ID_157
90626 1 13593751 13593900 ID_158
91495 1 13724101 13724250 ID_159
91963 1 13794301 13794450 ID_160
91975 1 13796101 13796250 ID_161
93040 1 13955851 13956000 ID_162
93041 1 13956001 13956150 ID_163
93788 1 14068051 14068200 ID_164
95765 1 14364601 14364750 ID_165
95766 1 14364751 14364900 ID_166
95767 1 14364901 14365050 ID_167
95819 1 14372701 14372850 ID_168
